text,category,source
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
salud y educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
el costo de vida que solo recae en el traeducacion,EDUCACION,original_training
no se esta priorizando ni la salud ni la educacion,EDUCACION,original_training
educacion y cultura,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion esta cada vez peor,EDUCACION,original_training
falta de educacion financiera,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion valores conocimiento,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
falta de educacion y cultura del trabajo,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de interes en invertir en universidad,EDUCACION,original_training
educacion,EDUCACION,original_training
la mala educacion,EDUCACION,original_training
no hay inversiones en salud y educacion,EDUCACION,original_training
no se l educacion,EDUCACION,original_training
educacion y salud,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion seguridad y salud,EDUCACION,original_training
salud educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
nos falta educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
salud y educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion en la formacion y contenidos,EDUCACION,original_training
la educacion con la educacion solucionamos todo,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la baja calidad de la educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
el principal problema es la falta de educacion intalaciones falta de propuestas,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion principios y valores,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
la falta de educacion general,EDUCACION,original_training
la educacion,EDUCACION,original_training
falta de educacion financiera,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion en primer lugar,EDUCACION,original_training
educacion,EDUCACION,original_training
la corrupcion y educacion,EDUCACION,original_training
la economia y la educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
el hambre y la educacion publica,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion jubilados,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion y la pobreza,EDUCACION,original_training
falta fe educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion en las escuelas la falta de respeto y de valores en los estudiantes,EDUCACION,original_training
educacion,EDUCACION,original_training
no hay educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion publica es mala,EDUCACION,original_training
educacion,EDUCACION,original_training
la base de educacion de las escuelas,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la economia y educacion,EDUCACION,original_training
educacion salud,EDUCACION,original_training
atraer mas inversiones y mejorar la educacion en todo el pais aumentar los ingresos de la gente,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion y economicos,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la falta de interes de estudio en los jovenes,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la falta de educacion que tiene la gente,EDUCACION,original_training
educacion,EDUCACION,original_training
la calidad de la educacion bajo mucho,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion y salud,EDUCACION,original_training
educacion,EDUCACION,original_training
socio educacional,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
la gente que le falta educacion,EDUCACION,original_training
falta educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
problemas en el ambito de la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la economia falta de trabajo salud y educacion,EDUCACION,original_training
la educacion en general,EDUCACION,original_training
educacion,EDUCACION,original_training
universidad que la quieren hacer privados,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
disfinanciamiento del estado falta de inversion en educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
salud educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
que no mejora el fondo para salud ni para la educacion hay que duplicarlo,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion y salud,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
los jubilados y le pagan poco a los maestros,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
salud y educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
falta educacion,EDUCACION,original_training
se han perdido los valores y la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
los problemas en salud y en educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
los sueldos de los privadas y las jubilaciones y la salud y la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
desfinanciamiento de la educacion y ataque a la universidad publica,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la educacion,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
falta de cultura educacion justicia orden insti,EDUCACION,original_training
la falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la salud y educacion,EDUCACION,original_training
falta de educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
falta educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
la forma de manejarse con los maestros,EDUCACION,original_training
la educacion,EDUCACION,original_training
social educacional,EDUCACION,original_training
educacion,EDUCACION,original_training
educacion,EDUCACION,original_training
