text,category,source
educacion,EDUCACION,original_training
Los sueldos,PODER_ADQUISITIVO,reclassified_otros
el gobierno nacional,POLITICA,original_training
corrupcion,CORRUPCION,original_training
inseguridad,INSEGURIDAD,original_training
inseguridad,INSEGURIDAD,original_training
la pobreza,POBREZA,original_training
desempleo,TRABAJO,original_training
Económico,PODER_ADQUISITIVO,reclassified_otros
falta de trabajo,TRABAJO,original_training
La corrupción,CORRUPCION,reclassified_otros
Los salarios de la clase política,PODER_ADQUISITIVO,reclassified_otros
la casta,OTROS,reclassified_otros
seguridad,INSEGURIDAD,original_training
Impuestos,CORRUPCION,reclassified_otros
La Plata falta de dinero,PODER_ADQUISITIVO,reclassified_otros
economia,ECONOMIA,original_training
la educacion,EDUCACION,original_training
milei,POLITICA,original_training
inflacion,INFLACION,original_training
corrupcion,CORRUPCION,original_training
desempleo y educacion,TRABAJO,original_training
inseguridad,INSEGURIDAD,original_training
la falta de trabajo,TRABAJO,original_training
el gobierno nacional,POLITICA,original_training
la inflacion,INFLACION,original_training
La corrupción,CORRUPCION,reclassified_otros
los politicos solo miran su ombligo,POLITICA,original_training
desempleo,TRABAJO,original_training
Los jubilados,OTROS,reclassified_otros
economia,ECONOMIA,original_training
corrupcion,CORRUPCION,original_training
la economia,ECONOMIA,original_training
La mala gestión de los políticos,OTROS,reclassified_otros
el gobierno nacional,POLITICA,original_training
los politicos,POLITICA,original_training
Desemplo,OTROS,reclassified_otros
La economía,OTROS,reclassified_otros
no estamos cagando de hambre,POBREZA,original_training
el presidente,POLITICA,original_training
La corrupción,CORRUPCION,reclassified_otros
MANEJO POLITICO,OTROS,reclassified_otros
Cultural,CULTURA_VALORES,reclassified_otros
Los políticos,OTROS,reclassified_otros
economia,ECONOMIA,original_training
el desinteres del gobierno nacional,POLITICA,original_training
la economia,ECONOMIA,original_training
economia,ECONOMIA,original_training
precios,INFLACION,original_training
Corrupción,CORRUPCION,reclassified_otros
el gasto publico y las elevadas tarifas de impuest,SERVICIOS,original_training
Las personas,OTROS,reclassified_otros
Alimentos caros,OTROS,reclassified_otros
La justicia,CORRUPCION,reclassified_otros
Corrupción,CORRUPCION,reclassified_otros
la gente que no quiere trabajar,OTROS,original_training
Economía,OTROS,reclassified_otros
economia,ECONOMIA,original_training
inflacion,INFLACION,original_training
economia,ECONOMIA,original_training
la falta de salud,SALUD,original_training
no hay trabajo,TRABAJO,original_training
inseguridad y politicas publicas,INSEGURIDAD,original_training
gobierno,POLITICA,original_training
las politicas adoptadas por el gobierno,POLITICA,original_training
inseguridad,INSEGURIDAD,original_training
corrupcion,CORRUPCION,original_training
Corrupción,CORRUPCION,reclassified_otros
Las jubilaciones,OTROS,reclassified_otros
economia,ECONOMIA,original_training
falta de trabajo,TRABAJO,original_training
desempleo,TRABAJO,original_training
politicos corruptos,POLITICA,original_training
economia,ECONOMIA,original_training
los corruptos,CORRUPCION,original_training
la corrupción,CORRUPCION,reclassified_otros
economia,ECONOMIA,original_training
precios de alimentos,INFLACION,original_training
inflacion,INFLACION,original_training
la economia,ECONOMIA,original_training
economia,ECONOMIA,original_training
politicos,POLITICA,original_training
desempleo,TRABAJO,original_training
inseguridad,INSEGURIDAD,original_training
poca exigencia del pueblo hacia sus representantes,OTROS,reclassified_otros
la inseguridad,INSEGURIDAD,original_training
falta de empleo,TRABAJO,original_training
la inseguridad,INSEGURIDAD,original_training
la insseguridad,INSEGURIDAD,original_training
Economía,OTROS,reclassified_otros
aumento de servicios publicos,SERVICIOS,original_training
inseguridad,INSEGURIDAD,original_training
falta de trabajo,TRABAJO,original_training
la economia,ECONOMIA,original_training
economia,ECONOMIA,original_training
corrupcion,CORRUPCION,original_training
Falta de educación,CULTURA_VALORES,reclassified_otros
políticos,OTROS,reclassified_otros
la economia,ECONOMIA,original_training
La inflación,OTROS,reclassified_otros
economia,ECONOMIA,original_training
pobreza,POBREZA,original_training
falta de dinero,OTROS,original_training
Economía,OTROS,reclassified_otros
la economia el aumento de precios,INFLACION,original_training
los planeros,OTROS,original_training
la falta de empleo,TRABAJO,original_training
la corrupción,CORRUPCION,reclassified_otros
Bajos sueldod,PODER_ADQUISITIVO,reclassified_otros
No alcanza la plata,PODER_ADQUISITIVO,reclassified_otros
Corrupción,CORRUPCION,reclassified_otros
seguridad salud educacion,INSEGURIDAD,original_training
falta de trabajo salarios bajos el dinero no alcanza al gobierno solole importa el deficit 0,TRABAJO,original_training
Economía,OTROS,reclassified_otros
ahora hay mas pobres que nunca,POBREZA,original_training
economico,ECONOMIA,original_training
las medidas politica,POLITICA,original_training
la economia,ECONOMIA,original_training
salud,SALUD,original_training
la economia,ECONOMIA,original_training
inflacion,INFLACION,original_training
robos,INSEGURIDAD,original_training
la salud,SALUD,original_training
los anteriores gobiernos corruptos,CORRUPCION,original_training
No sabe,OTROS,reclassified_otros
el desastre economico,ECONOMIA,original_training
que no tengan trabajo,TRABAJO,original_training
La economía .no alcanza lo que ganas por más que las cosas no aumenten,PODER_ADQUISITIVO,reclassified_otros
no hay seguridad,INSEGURIDAD,original_training
gastan demasiados los politicid,SERVICIOS,original_training
delincuencia,INSEGURIDAD,original_training
falta de empleo,TRABAJO,original_training
economia,ECONOMIA,original_training
la droga,OTROS,reclassified_otros
Inflación,OTROS,reclassified_otros
La desigualdad de oportunidades,OTROS,reclassified_otros
los gobernantes,CORRUPCION,reclassified_otros
La educación,CULTURA_VALORES,reclassified_otros
la inseguridad,INSEGURIDAD,original_training
la pobreza,POBREZA,original_training
inseguridad,INSEGURIDAD,original_training
No alcanza para comer,PODER_ADQUISITIVO,reclassified_otros
economico,ECONOMIA,original_training
la falta de trabajo,TRABAJO,original_training
milei,POLITICA,original_training
la inseguridad,INSEGURIDAD,original_training
desocupacion,TRABAJO,original_training
educacion,EDUCACION,original_training
la opinion de la gente,OTROS,original_training
Los gobernantes,CORRUPCION,reclassified_otros
la falta de inversiones extranjeras,OTROS,reclassified_otros
la inflacion,INFLACION,original_training
La locura de Miley y la de Cristina que no laarga,OTROS,reclassified_otros
el presidente,POLITICA,original_training
el gobierno,POLITICA,original_training
inseguridad,INSEGURIDAD,original_training
inflacion,INFLACION,original_training
el presidente,POLITICA,original_training
la falta de trabajo,TRABAJO,original_training
la pobreza,POBREZA,original_training
Económico,PODER_ADQUISITIVO,reclassified_otros
la economia,ECONOMIA,original_training
la inflacion,INFLACION,original_training
Los aumentos de impuestos que son insostenibles,CORRUPCION,reclassified_otros
la corrupcion,CORRUPCION,original_training
la corrupcion y sueldos,CORRUPCION,original_training
la economia,ECONOMIA,original_training
violencia,INSEGURIDAD,original_training
La corrupción,CORRUPCION,reclassified_otros
los politicos,POLITICA,original_training
desocupacion economica,TRABAJO,original_training
